Drug,N_CellLines,Pearson_r,P_value,NegCorr
Y-39983,12,-0.07651220475605054,0.8131702335997555,True
BUPARLISIB,10,0.08336442745408452,0.8189023711276281,False
TALAZOPARIB,12,0.050473179175872726,0.8234865682629658,False
BMS-754807,10,-0.08114163610522242,0.8236666979218193,True
GSK2578215A,10,0.08052454306550205,0.8249903008220867,False
CP466722,12,0.0694173847299405,0.8302610054156704,False
STF-62247,11,-0.07301964712975356,0.831048265048049,True
ELESCLOMOL,12,0.06741024178613286,0.8351086241603243,False
LESTAURTINIB,12,-0.06721189001206612,0.8355879689521577,True
THZ-2-49,12,0.06535466870224078,0.8400786756844484,False
OF-1,7,-0.09303415881576121,0.8427429303576821,True
EPIRUBICIN,10,-0.07187005573285751,0.8435938067041572,True
681640,10,-0.05120795924389512,0.8452514974265559,True
ZM-447439,12,0.06254880139555807,0.8468714514070228,False
NAVITOCLAX,12,0.0432069310596552,0.8485902409782456,False
AR-42,11,0.0640666983785587,0.8515513872777305,False
CAY10603,11,0.06246564669535458,0.8552270087823317,False
AZ960,7,0.08499277439376428,0.8562323722063686,False
DACINOSTAT,11,0.061752712650985586,0.8568645657050465,False
XMD15-27,12,0.057421143898887056,0.8593095465499867,False
TW-37,12,0.05718019638754404,0.8598947539971361,False
TANESPIMYCIN,12,0.05580559808538468,0.8632345746068109,False
SGC0946,12,0.05322481638474341,0.8695105392106341,False
NSC-87877,11,0.05485816924898623,0.8727261087715557,False
SN-38,12,-0.05085116899048481,0.875288910020718,True
ABT-737,10,0.05307732875716724,0.8842198868185726,False
AGI-5198,10,0.0528276371575511,0.8847615054744316,False
LAPATINIB,10,0.046379600026079104,0.8861894259707088,False
"EPOTHILONE B, GNF-PF-193",11,0.0485775019282062,0.88721221847414,False
IOX2,11,-0.047535656972193446,0.8896183010824089,True
"ISPINESIB MESYLATE, SB-715992",12,0.04297837495987597,0.8944929616514653,False
BX-795,12,0.04277809684572764,0.894982218885319,False
MK-1775,10,0.0477562682205277,0.8957710908758438,False
TUBASTATIN A,11,-0.040797584623267505,0.9051988949504344,True
FORETINIB,12,0.026102082972294854,0.9082054991002809,False
BX-912,12,0.03576300321755061,0.9121393979853231,False
MITOXANTRONE,7,-0.05138014409912395,0.9128894470090754,True
PFI-1,11,0.03678167304782617,0.9144995887208179,False
GSK1070916,12,0.03278519483728756,0.9194332033380679,False
APR-246,7,0.04279434028608564,0.9274165771894324,False
A-83-01,13,-0.025649944641792377,0.933711611800114,True
AZD3759,10,-0.028484561719364948,0.9377405530950775,True
RU-SKI-43,13,-0.022171787427941098,0.9426860881792224,True
IKK-2-INHIBITOR-V,13,0.021544011950804104,0.9443065913491742,False
CUDC-101,11,-0.02369126242643324,0.9448778824696455,True
OSI-930,12,-0.02064408293879802,0.9492250596976707,True
XMD13-2,12,0.0203740293012578,0.9498885273556369,False
TWS-119,13,0.0192888663279297,0.9501294803390734,False
BRYOSTATIN 1,11,-0.020222678814535794,0.9529398250115175,True
DACTINOMYCIN,10,-0.01501292284048545,0.9543956805472261,True
GSK650394,11,0.01801936713884783,0.9580630275414845,False
DIHYDROROTENONE,7,-0.024148312925379452,0.9590165027447298,True
ZG-10,7,-0.022987057031855496,0.9609862693875569,True
GEMCITABINE,11,0.01117498964727872,0.9616558980744422,False
GSK429286A,12,-0.014423694735621977,0.9645140330984696,True
PI-103,12,0.012927604158377157,0.9681930622137361,False
GS-9973,7,0.018722447682831277,0.9682213560161428,False
NSC-319726,10,-0.014427797733414502,0.9684457613778812,True
EMBELIN,11,-0.01161949934273964,0.9729516325487918,True
CYCLOPHOSPHAMIDE,10,0.010957248653002086,0.9760338961112833,False
AZD5582,7,0.014008342864048253,0.9762210318230582,False
CCT018159,12,-0.00887304217495287,0.9781662898336482,True
BELINOSTAT,11,0.008892272662593681,0.979298836497694,False
VENETOCLAX,10,0.009329356269055067,0.9795938093146167,False
XMD11-85H,7,0.007774620312351127,0.9868017935200771,False
"AKT INHIBITOR VIII, KIN001-102",12,-0.0011779174015195647,0.9957440706031659,True
VINORELBINE,11,0.0004808252477114085,0.9983495891505038,False
