Drug,N_CellLines,Pearson_r,P_value,NegCorr
UNC0638,12,-0.18939509956620512,0.3985761519276548,True
ALVOCIDIB,13,0.2536960885700359,0.4029524472570893,False
NAVITOCLAX,12,-0.18724936816815393,0.4040395670945844,True
VE-822,7,0.37622988198018226,0.40551983439126355,False
FORETINIB,12,0.18628890050897473,0.406498417539409,False
PD-173074,12,0.18598982907068898,0.40726573559981827,False
SB-216763,11,-0.27748873184249034,0.40872494268821785,True
KIN001-042,13,0.2492407900884479,0.41154237686000505,False
PACLITAXEL,10,0.260431427602719,0.4136281808793935,False
SIROLIMUS,10,0.26023929425223474,0.41398527874174806,False
NVP-ADW742,10,-0.2904140156391884,0.41564218943928466,True
TWS-119,13,0.2463736901719779,0.41711893865530403,False
"MIM1, MIM 1, MIM-1",10,-0.285904283140662,0.42324815925060455,True
SU-11274,13,-0.23866537734734117,0.4322988441892007,True
BRYOSTATIN 1,11,-0.2635425273327375,0.4336105361386152,True
NILOTINIB,12,-0.1727867392556686,0.4419256475872808,True
DORAMAPIMOD,12,0.24510483844634046,0.4425902095915366,False
YM-155,12,0.18077248700012008,0.44564177514456677,False
"ARA-G, 9-??-D-ARABINOFURANOSYL GUANINE",13,0.23076216590383344,0.4481416691674163,False
LINSITINIB,11,0.17765279326746808,0.45366299135976723,False
GALLIBISCOQUINAZOLE,7,0.33370877826503414,0.4644885973104624,False
MITOXANTRONE,7,-0.3330798033881242,0.46538339234031734,True
XMD11-85H,7,0.3325766941177186,0.46609958343917973,False
VX-702,12,-0.23060655302748523,0.4708536802989266,True
PD-0325901,12,0.15953053896500685,0.4782322137914102,False
AZD5582,7,0.32301418216769995,0.4797883682219851,False
GSK2578215A,10,0.2523540470182163,0.48180699270101335,False
VNLG/124,11,-0.23741689219746268,0.48208775426070566,True
"APO866, FK866",11,-0.18911190882602855,0.4830183099215228,True
NSC-319726,10,0.249826176552422,0.48635537337552803,False
IC-87114,13,-0.21213433320490205,0.4865685736072471,True
TANESPIMYCIN,12,-0.22204733426425857,0.48792166028209116,True
"GSK591, EPZ015866, GSK3203591",10,0.24855373583024631,0.4886518453807748,False
SB-590885,12,-0.22052014618565233,0.49099617188389555,True
BMS-345541,12,0.1652072317304988,0.49910334416945273,False
JQ12,11,-0.22820319126899344,0.4997377580560645,True
GS-9973,7,0.3091045381870049,0.499953233675243,False
AMUVATINIB,11,-0.22697143666281602,0.50211844538218,True
PRT062607,7,0.3047668897650244,0.5063013344438557,False
DABRAFENIB,12,0.14957927857494377,0.5064411435223104,False
CX-5461,11,-0.22268735917618449,0.510436709454002,True
CHIR-99021,12,0.14774281240934756,0.511733638292094,False
TORIN-2,12,-0.2084684428459815,0.5155609386756222,True
OSI-930,12,-0.20833641950999465,0.5158329678308855,True
NVP-BEZ235,12,-0.14556403736768592,0.5180469699100817,True
GSK1904529A,11,-0.14839868879923657,0.5208883504099686,True
TRAMETINIB,12,0.14429588563670356,0.5217386578892822,False
WYE-125132,13,-0.19430130827572575,0.5247229384244587,True
ALPELISIB,10,0.22839346042145536,0.5256452388565103,False
AST-1306,13,0.19243494752236745,0.5287901696258445,False
ENTINOSTAT,7,0.24161971550378142,0.5310983657116131,False
AGI-6780,13,0.14874911207115646,0.5313869334161418,False
5-FLUOROURACIL,12,-0.14465909600800209,0.5315617798719958,True
PF-562271,11,0.21183243267166416,0.5317740505404956,False
FLUDARABINE,7,-0.28042042115003596,0.5424381094144781,True
KIN001-270,12,0.19555633530595226,0.5424576604576065,False
AZD5363,10,0.21694649125109217,0.5471418895915554,False
KIN001-206,11,0.19677964004307327,0.5619600765517491,False
LAPATINIB,10,-0.1862880114147297,0.5621177970958071,True
LDN-193189,13,0.17709574326443722,0.5627268923706545,False
VE-821,10,-0.20795453796781826,0.5642664830857146,True
DIHYDROROTENONE,7,-0.2642993330485336,0.566817289456708,True
KIN001-266,12,0.1788844655965507,0.5780264316688098,False
XMD13-2,12,-0.17872127560131224,0.5783790854461676,True
DOXORUBICIN,11,-0.18619355731971307,0.5835854067480898,True
BLEOMYCIN,11,-0.18575130990344935,0.5844957083458168,True
VINORELBINE,11,-0.12595015791482625,0.5864358716703773,True
TAMOXIFEN,11,-0.12499820743603582,0.5892910858730719,True
GSK650394,11,-0.1825372754156803,0.5911275538683891,True
BMS-536924,11,0.11640285979577357,0.5968604378151563,False
NPK76-II-72-1,12,-0.16965645355460449,0.5980998919109068,True
DACINOSTAT,11,-0.17870355133216442,0.5990749580389291,True
PI-103,12,-0.1686984561448789,0.600198926656718,True
"APITOLISIB, GDC0980",13,-0.16048072107138436,0.6004630343956252,True
ETP-45835,13,0.15890957549910487,0.6040813698578112,False
CABOZANTINIB,12,0.16680158825113128,0.604363321815164,False
CCT018159,12,-0.16666342581876598,0.6046670698686953,True
BMS-754807,10,0.1855081431157323,0.6078798265518481,False
TASELISIB,10,0.18317746849700325,0.6124758737071843,False
STF-62247,11,0.1720118736618082,0.6130411162817425,False
HG-5-88-01,7,-0.22389244858250498,0.6293628922862384,True
MK-2206,12,0.11094501939890397,0.6321059689190026,False
QL-XI-92,12,0.15362980220340944,0.6335745292297227,False
WZ3105,12,0.15323671047627907,0.6344539751925993,False
CYTARABINE,12,-0.10660743846625156,0.6367877399572613,True
KOBE2602,13,0.14430386055381492,0.6381087884433587,False
PALBOCICLIB,12,0.1045965664464493,0.6431936183005842,False
LIMK1 INHIBITOR BMS4,13,-0.13939646989727753,0.6496939430385085,True
TG-101348,12,0.14578867615384442,0.6511980669893487,False
MOTESANIB,12,0.14101058667371513,0.6620188112428281,False
ELESCLOMOL,12,0.13985974315490157,0.6646340638853945,False
MN-64,7,-0.20051013356883157,0.6664046646233684,True
CANERTINIB,13,0.1304414710510052,0.671020998316769,False
BX-912,12,-0.13517141815826209,0.6753233788672536,True
TL-2-105,12,0.13456615135551053,0.6767074484443134,False
TEMOZOLOMIDE,12,0.09375764163311885,0.6781354878972671,False
ABT-737,10,-0.14983318017606195,0.6794995410715055,True
"AICAR, N1-(B-D-RIBOFURANOSYL)-5-AMINOIMIDAZOLE-4-CARBOXAMIDE",12,0.1297566789390879,0.6877376690418748,False
JNJ-38877605,13,-0.12271550978513263,0.6896057744131694,True
WIKI4,10,-0.14485748288558709,0.6896901817898677,True
BICALUTAMIDE,13,0.08973678087211788,0.6912666317631049,False
SB 505124,13,0.08515179573226378,0.6923946962045534,False
CP-724714,12,-0.12658393336037221,0.6950450169397306,True
BAY-61-3606,11,0.1330289823732857,0.6965908452562503,False
AZD6482,13,0.08446827475878767,0.7015782311264229,False
GW 441756,12,0.12370241463322196,0.7017023460000571,False
"JNK-9L, KIN001-204",11,-0.12795118894363583,0.7077232395389773,True
CD532,13,-0.11389118616712826,0.7110299469603211,True
"PILARALISIB, XL-147",13,0.11382454322834021,0.7111925141551845,False
"AS605240, KIN001-173",12,0.11921343774649697,0.7121117881818726,False
QL-X-138,12,0.11828369288671219,0.7142734789496851,False
GDC-0068,10,0.12835224880133925,0.7238094120936899,False
UPROSERTIB,10,0.09053582010996936,0.729668733404171,False
GSK1059615,13,-0.10610380929265167,0.7301008437254063,True
LFM-A13,11,0.11710424404066663,0.7316741587906643,False
LJI308,10,-0.124025358403572,0.7328294519325842,True
AT-7519,12,0.10899634944459063,0.7359705097973523,False
TEMSIROLIMUS,12,-0.10559221821077698,0.7439686828129425,True
PHA-793887,12,0.10133636648989709,0.7540006960534161,False
