Drug,N_CellLines,Pearson_r,P_value,NegCorr
ETP-45835,13,-0.08458078722204852,0.7835283855524138,True
"PILARALISIB, XL-147",13,-0.08182492481438143,0.790438092066683,True
NVP-ADW742,10,0.09443656145196114,0.795252519310911,False
SORAFENIB,10,-0.08342985395178548,0.7965779237276969,True
CD532,13,0.07599688637626946,0.8050965784812504,False
PFI-3,10,0.06365847248751094,0.8082194435044963,False
APABETALONE,7,0.10964849613234842,0.8149719024803723,False
"FMK, KIN001-242",11,-0.0800286550401397,0.8150620687504497,True
DASATINIB,10,0.07510674757458619,0.8165501459013077,False
NINTEDANIB,13,-0.06930280219844892,0.8220057137644009,True
"TELOMERASE INHIBITOR IX, MST-312, MST 312, MST312",10,0.07986224556066104,0.8264113046825384,False
MIRIN,10,0.05670279640159395,0.8288655819454169,False
ELEPHANTIN,7,0.0997673929951013,0.8314712701307366,False
TIPIFARNIB,11,0.07241390294006884,0.8324326358267856,False
MK-1775,10,-0.07629230247310362,0.8340785830670783,True
MIDOSTAURIN,11,0.0666087297617193,0.8457209755481945,False
AFATINIB,12,0.03343979440905952,0.8510766809998761,False
LDN-193189,13,-0.05727912344395119,0.8525513853437066,True
TG-101348,12,-0.05983173247142809,0.8534583891251246,True
MPS-1-IN-1,12,-0.05932351375379174,0.8546914205156604,True
AT13148,10,0.06444993833768156,0.8595999213722314,False
AZD6738,10,0.06423044252964574,0.8600741301600048,False
IKK-2-INHIBITOR-V,13,-0.05432012324877669,0.8600993291430921,True
PACLITAXEL,10,0.05651714022071252,0.861505501947222,False
CCT007093,12,-0.05381438716093091,0.8680761947479433,True
KIN001-266,12,-0.051213032100484314,0.8744076280487418,True
GDC-0068,10,0.0549162961932255,0.8802322331872237,False
LEFLUNOMIDE,7,-0.06954333546361934,0.8822248461205844,True
RO-3306,12,0.04656696608848645,0.8857323003598059,False
TWS-119,13,-0.03922112489384766,0.8987726339523143,True
A-83-01,13,-0.03889814958141228,0.8996024177408302,True
PCI-34051,7,-0.05357500626880918,0.90917871688951,True
PAC-1,11,-0.03801151002535234,0.9116502626871603,True
GSK1059615,13,-0.03330358577975184,0.9139901395731682,True
AZD8186,10,-0.0389947749847689,0.9148285195893767,True
TEMOZOLOMIDE,12,0.023729970692800945,0.9165180589085712,False
NAVITOCLAX,12,-0.02372034746436473,0.9165517991896116,True
SIROLIMUS,10,0.03279970575073795,0.9193976462436033,False
QL-XII-47,12,-0.032545396615613766,0.920020817072417,True
KIN001-244,12,-0.031494710555256614,0.9225959009599217,True
BORTEZOMIB,10,-0.0307977529244233,0.9243044240741498,True
UNC0642,12,0.029280852977856528,0.9280239614022929,False
"GSK343, GTPL8240, AOB3680, AK175558",7,-0.041230865826468684,0.9300637888355032,True
"NSC-207895, XI-006",11,-0.028898832181050067,0.9327829802677935,True
LGK-974,13,0.01839109711086595,0.9336220072578629,False
MIRA-1,10,0.027909965518357657,0.9389944864654605,False
QL-XII-61,7,-0.035290626562891475,0.9401260722019368,True
GEFITINIB,12,0.015604288129816679,0.9450515533391146,False
CAMPTOTHECIN,10,0.021591390312146602,0.9527908461433382,False
PONATINIB,11,-0.020246829172991955,0.9528836784541493,True
METHOTREXATE,12,0.015980342789171962,0.9606867626147081,False
OSI-930,12,-0.015121203680048836,0.9627990053252028,True
WZ4003,7,-0.02081225857940272,0.9646756640118276,True
"ZOLEDRONATE, ZOLEDRONIC ACID, ZOMETA, RECLAST",7,-0.019362966970027137,0.9671345681699893,True
BVD-523,10,-0.009731429707664014,0.9675201121544328,True
BEXAROTENE,10,0.014636993508443177,0.9679884354961124,False
GSK2606414,7,0.016397569719272448,0.9721663633715132,False
DACTINOMYCIN,10,0.007282422822820239,0.9778701346120755,False
PEVONEDISTAT,11,0.006262274815943478,0.9809695961302725,False
"GSK591, EPZ015866, GSK3203591",10,-0.006768199208548285,0.9851952424277685,True
SB52334,12,0.00523932116267075,0.9871068299802351,False
LINSITINIB,11,-0.00236973009038206,0.9920888445673323,True
TRETINOIN,12,0.002604785341400219,0.9935898440638149,False
