Biomarker_AMP,Biomarker_AMP_HGNC,BiomarkerCluster,BiomarkerCluster_HGNC,TargetGene_AMP,TargetGene_AMP_HGNC,OncogeneAddiction,Beta,T-stat,P-value,EffectSize,CI_Lower,CI_Upper,n_Lines,MeanCNA,MeanEffect,PredictedEffect_CNA2,MeanEffect_CNA6plus,DeltaEffect_CNA6minusPred2,FDR,Pair,Biomarker_Unified,Biomarker_Unified_HGNC,TargetGene_Unified,TargetGene_Unified_HGNC,CNA_P_one,CNA_Q,CNA_EffectSize,CNA_Delta,Expr_P_one,Expr_EffectSize,Expr_Delta,Validated
389677,RBM12B,389677,RBM12B,102157402,AK6,FALSE,-0.1490238139,-3.598760231,0.0003197378047,-0.3363668574,-0.230185461,-0.06786216672,17,3.735294118,-1.059285764,-0.8006856161,-1.458301188,-0.6576155724,0.0485307069,389677_102157402,389677,RBM12B,102157402,AK6,2.02E-06,0.001598812321,-0.3755842672,-0.7569422979,0.007681850617,-0.9052126953,-0.6564807137,TRUE
51773,RSF1,51773,RSF1,65260,COA7,FALSE,-0.01883716398,-6.593257965,4.30E-11,-0.090905371,-0.02443684826,-0.0132374797,17,6.341184807,-0.3810605021,-0.299284892,-0.5937630042,-0.2944781121,1.01E-07,51773_65260,51773,RSF1,65260,COA7,1.91E-18,1.99E-14,-0.09799736385,-0.3270158167,1.54E-31,-0.7781652994,-0.3326158887,TRUE
51773,RSF1,51773,RSF1,503834,DPRX,FALSE,-0.02132034122,-6.943416386,3.83E-12,-0.1203888743,-0.02733857469,-0.01530210774,17,6.341184807,-0.1172593059,-0.02470376458,-0.3369460659,-0.3122423014,1.13E-08,51773_503834,51773,RSF1,503834,DPRX,6.37E-12,1.85E-08,-0.1143672556,-0.3141608539,0.0004169185193,-0.742900417,-0.3003053273,TRUE
51773,RSF1,51773,RSF1,147965,FAM98C,FALSE,-0.02362225564,-9.177508616,4.41E-20,-0.1077758815,-0.02866706379,-0.01857744748,17,6.341184807,-0.2888699718,-0.1863213945,-0.5621626976,-0.3758413031,4.60E-16,51773_147965,51773,RSF1,147965,FAM98C,2.34E-20,2.74E-16,-0.1040419854,-0.3799216994,8.32E-09,-0.7657162369,-0.377558225,TRUE
51773,RSF1,51773,RSF1,22992,KDM2A,FALSE,-0.0213522442,-5.05437367,4.32E-07,-0.08008364463,-0.02963212858,-0.01307235981,17,6.341184807,-0.6154279218,-0.5227338837,-0.8724318856,-0.3496980019,0.0002993778458,51773_22992,51773,RSF1,22992,KDM2A,4.35E-09,7.89E-06,-0.08921386132,-0.3611498569,9.57E-05,-0.5840003346,-0.3472701779,TRUE
51773,RSF1,51773,RSF1,6183,MRPS12,FALSE,-0.03257449933,-4.454373885,8.41E-06,-0.0890511975,-0.04690756772,-0.01824143095,17,6.341184807,-0.4851673143,-0.3437553927,-0.8097515158,-0.465996123,0.003341017329,51773_6183,51773,RSF1,6183,MRPS12,6.81E-06,0.004281158223,-0.08544069146,-0.4829003485,0.007449175798,-0.5436622676,-0.4584000783,TRUE
51773,RSF1,51773,RSF1,54460,MRPS21,FALSE,-0.02611837307,-3.666868367,0.0002455391101,-0.08426942581,-0.04007880618,-0.01215793996,17,6.341184807,-0.9401986946,-0.8268140102,-1.174405561,-0.3475915509,0.04075699076,51773_54460,51773,RSF1,54460,MRPS21,0.0001155874572,0.03999419067,-0.08214758133,-0.3604542041,0.03519488815,-0.4977355518,-0.3354610672,TRUE
51773,RSF1,51773,RSF1,51649,MRPS23,FALSE,-0.0200221136,-4.1495761,3.33E-05,-0.05816072509,-0.02947913296,-0.01056509423,17,6.341184807,-0.4994695442,-0.4125498488,-0.751419736,-0.3388698872,0.009145090485,51773_51649,51773,RSF1,51649,MRPS23,6.37E-05,0.02570203033,-0.05780030687,-0.3536660722,0.01060061884,-0.358614094,-0.3361394161,TRUE
51773,RSF1,51773,RSF1,4605,MYBL2,FALSE,-0.02045642127,-5.727188193,1.02E-08,-0.0812067386,-0.02745703791,-0.01345580464,17,6.341184807,-0.4623875345,-0.3735824292,-0.712279687,-0.3386972578,1.27E-05,51773_4605,51773,RSF1,4605,MYBL2,9.94E-09,1.65E-05,-0.07874579699,-0.33770865,0.0004523656511,-0.5057579883,-0.3237443352,TRUE
51773,RSF1,51773,RSF1,7849,PAX8,FALSE,-0.05641198266,-3.905900254,9.39E-05,-0.0861439791,-0.08471927345,-0.02810469186,17,6.341184807,-0.9158601685,-0.6709653265,-1.510220194,-0.8392548673,0.02007551482,51773_7849,51773,RSF1,7849,PAX8,9.90E-05,0.0360886024,-0.08119475984,-0.8356396805,0.02211999233,-0.4604382867,-0.7694126359,TRUE
