Gene,Gene_HGNC,Sample,CNA,Protein
10016,PDCD6,TCGA-24-1431-01,1,0.2889
10016,PDCD6,TCGA-24-1435-01,1,0.2976
10016,PDCD6,TCGA-24-1436-01,1,-0.0656
10016,PDCD6,TCGA-24-1464-01,0,-0.1069
10016,PDCD6,TCGA-24-1474-01,0,-0.3475
10016,PDCD6,TCGA-24-1544-01,1,0.0447
10016,PDCD6,TCGA-24-1548-01,-1,-0.4054
10016,PDCD6,TCGA-24-1553-01,1,0.0872
10016,PDCD6,TCGA-24-1555-01,1,0.7085
10016,PDCD6,TCGA-24-1557-01,2,0.4557
10016,PDCD6,TCGA-24-1558-01,0,0.1777
10016,PDCD6,TCGA-24-1562-01,0,0.2237
10016,PDCD6,TCGA-24-1565-01,0,0.0491
10016,PDCD6,TCGA-24-1920-01,1,-0.3445
10016,PDCD6,TCGA-24-1927-01,-1,-0.3626
10016,PDCD6,TCGA-24-2024-01,0,-0.0929
10016,PDCD6,TCGA-24-2030-01,1,0.1331
10016,PDCD6,TCGA-24-2033-01,1,0.2991
10016,PDCD6,TCGA-24-2261-01,0,-0.1243
10016,PDCD6,TCGA-24-2289-01,1,-0.0494
10016,PDCD6,TCGA-24-2290-01,0,0.1955
10016,PDCD6,TCGA-24-2298-01,1,-0.0017
10016,PDCD6,TCGA-25-1312-01,-1,-0.3274
10016,PDCD6,TCGA-25-1313-01,0,-0.0281
10016,PDCD6,TCGA-25-1318-01,2,0.131
10016,PDCD6,TCGA-25-1322-01,2,0.1642
10016,PDCD6,TCGA-25-1323-01,-1,-0.3036
10016,PDCD6,TCGA-25-1329-01,1,0.4011
10016,PDCD6,TCGA-25-1623-01,1,0.0757
10016,PDCD6,TCGA-25-1628-01,0,-0.1836
10016,PDCD6,TCGA-25-1631-01,1,0.0501
10016,PDCD6,TCGA-25-2396-01,1,0.1868
10016,PDCD6,TCGA-25-2397-01,0,0.2032
10016,PDCD6,TCGA-25-2399-01,0,-0.1192
10016,PDCD6,TCGA-25-2404-01,1,-0.156
10016,PDCD6,TCGA-29-1688-01,2,0.6932
10016,PDCD6,TCGA-29-1690-01,0,-0.2745
10016,PDCD6,TCGA-29-1693-01,1,-0.0548
10016,PDCD6,TCGA-29-1696-01,1,0.5199
10016,PDCD6,TCGA-29-1697-01,1,0.022
10016,PDCD6,TCGA-29-1698-01,0,-0.2275
10016,PDCD6,TCGA-29-1702-01,-1,-0.7459
10016,PDCD6,TCGA-29-1705-01,0,0.0516
10016,PDCD6,TCGA-29-1710-01,0,-0.3214
10016,PDCD6,TCGA-29-1711-01,0,0.07
10016,PDCD6,TCGA-29-1762-01,0,-0.3866
10016,PDCD6,TCGA-29-1763-01,1,0.1879
10016,PDCD6,TCGA-29-1766-01,2,0.4247
10016,PDCD6,TCGA-29-1768-01,1,-0.5493
10016,PDCD6,TCGA-29-1769-01,1,0.1163
