Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
EZH2,2146,0.119815638875185,0.011043025661284107,102,0.06284422487497299
FAAH,2166,0.22614436219431594,0.0019340715012868288,114,0.08258409512688436
PTK2B,2185,0.13122981038234383,0.014665256630413313,111,0.05341500378642605
KDM1B,221656,0.10185145985401463,0.023628723439942403,78,0.06558330670409762
FDFT1,2222,0.24089747122955796,6.908828274913293e-05,119,0.12708798626259987
FDPS,2224,0.09926937332823844,0.02170897797484025,119,0.04421852714705499
FH,2271,0.17393470850963802,1.4468058432878432e-05,119,0.14906331178779375
COG2,22796,0.06491592521834062,0.017132389422469505,119,0.04760723614258355
PUF60,22827,0.11403187321937322,8.019473981844092e-06,119,0.1572530560104507
FKBP4,2288,0.2166489469337188,3.8504298664511304e-09,119,0.25755150762493895
WDR37,22884,0.1957274156791248,1.6941532378446508e-11,119,0.32209442778753994
FOXJ3,22887,0.1998165803108808,1.5167735959281328e-06,104,0.2037358289717084
UBOX5,22888,0.22216567342073895,0.014712726917284443,48,0.1225696436416498
NCBP2,22916,0.1170089012632978,0.00034847975963344004,119,0.10396872861959017
SIRT2,22933,0.16307831460674146,5.353751201722676e-07,119,0.194028225934205
TPX2,22974,0.2579228915662651,7.323783731673367e-05,119,0.12626084325579556
PAXIP1,22976,0.10695770887166237,7.576488196242619e-05,113,0.1321364458377804
DIP2C,22982,0.16291410256410258,0.007433669181082705,53,0.13225646433977156
STK38L,23012,0.17674496342149693,9.062260619747845e-07,119,0.18698183026450022
RBM34,23029,0.08833642290974172,0.006642454667675273,119,0.061277803973387335
XPO7,23039,0.2614985682819382,3.40816092204885e-18,119,0.4774807070606324
CMTR1,23070,0.1578320596366509,2.4756727890927555e-08,119,0.23414013891062257
ERC1,23085,0.1926774554591137,4.9092744028796305e-11,119,0.30986960663261554
SIPA1L3,23094,0.11288669332848573,0.00046211497754345614,113,0.10503299136080113
POGZ,23126,0.11583819050991505,0.0006307654075279558,119,0.0954141241486951
GRAMD4,23151,0.12978165680473375,0.009335893981181165,112,0.0598439948459909
EFR3A,23167,0.12268291416074355,5.903734493165362e-05,117,0.131418164129675
LARP4B,23185,0.22189653476169652,2.4549471178655146e-13,119,0.3687316555583441
ATP11B,23200,0.15795982486117033,0.004132574184340239,87,0.09274023328436531
FAM168A,23201,0.08729597044996641,0.03255194206238954,100,0.04578087080326487
BOP1,23246,0.09773505119453922,0.00037060279682315833,119,0.1030829903823024
RPRD2,23248,0.1692029801324503,5.511951666792889e-07,119,0.19363969619605248
KIF13B,23303,0.1264349014709964,1.648267566622546e-06,119,0.17891108627657915
SIN3B,23309,0.12855357371452947,0.00018797485838985105,117,0.11468057855585068
SZT2,23334,0.11354590517241384,0.02623113097916622,60,0.08232955321236024
U2SURP,23350,0.07438500727802039,0.006079834828771897,119,0.06256040136896868
CRTC1,23373,0.14586750428326667,0.0005529642469815408,104,0.11086853635872362
SMG5,23381,0.09240479921645445,0.004979156355658873,114,0.06828917653692956
SIRT5,23408,0.14974863089937662,0.0001473704810931394,119,0.11630724590073838
BRD4,23476,0.20829037193111039,6.414838903381302e-14,119,0.3828590553536255
POFUT1,23509,0.21342902010050258,1.0967495907698781e-06,119,0.18441448775318225
SCRIB,23513,0.24342725546058877,5.856133562382522e-16,119,0.4299232238533762
SLC39A14,23516,0.1578849770290965,0.005165285253992975,119,0.06492425483422559
ACAP2,23527,0.2037854465270121,1.517772109111161e-14,119,0.39769117154665223
SNAPIN,23557,0.07233001321440372,0.018090100047293126,119,0.04682739513956402
GTPBP4,23560,0.08070796490428436,0.004495770471209127,119,0.06693842188080568
PLD3,23646,0.24476770056394392,6.301332442983489e-09,117,0.25519465319577606
