Gene,T-statistic (Amplification vs Neutral),P-value (Amplification vs Neutral),Cohen's d (Amplification vs Neutral),T-statistic (Deletion vs Neutral),P-value (Deletion vs Neutral),Cohen's d (Deletion vs Neutral)
23770,11.551736672981308,1.806501067783208e-14,1.9178121024506916,,,
23774,,,,-3.4349338882463547,0.0042947436241716,-1.5702181983793575
23779,,,,-1.5561702431625202,0.174257401724979,-0.8888744033460294
24140,0.8504137841476025,0.4511563154736526,0.628484891563475,,,
24148,1.6143069963442451,0.1565624566807585,0.8705317918856079,,,
253260,2.3078476246082413,0.07658063552235,1.3965619053352811,,,
254048,2.3658872138364204,0.041365408522354,1.0403790698182276,,,
254827,1.8325049023381328,0.0732715999465255,0.5103586747974788,,,
25771,,,,-2.8319233998199853,0.0120982436806236,-1.3207153402444871
25796,3.916165413608495,0.0098859715504473,2.940284914070363,,,
25813,,,,-2.009245584050535,0.0708562488950554,-0.8931836710570086
25814,,,,-3.713073864034296,0.0018513754948921,-1.5825030683176924
25836,1.865043484032902,0.1139960596549576,0.9641622749544252,,,
25852,0.666088063018246,0.5209377914691716,0.3107131607084706,,,
25879,-0.0501281313027834,0.9603642532482968,-0.0157808119990851,,,
2590,2.301228984580947,0.0516904709948322,0.948525460295397,,,
25909,2.5511191422546853,0.0300628668170546,0.7919382182923701,,,
25937,1.8938428975285155,0.0751109853897009,0.7018473979337463,,,
25959,0.8880924200199282,0.4097560277401181,0.5331079107540416,,,
2597,3.2978070287004355,0.0103458421525464,1.6550989023209992,,,
25977,3.3064331669189326,0.0193103619269921,2.435989418212504,,,
26,-0.702715633696113,0.5069229575085635,-0.3091779479238703,,,
26011,-1.19853054317726,0.2494481866258044,-0.3687937014455966,,,
26017,3.468502954365816,0.0116694185451375,2.281221865016882,,,
26039,0.7167038725954242,0.4903713726019121,0.3392516781121233,,,
26043,6.537979251495606,1.1253675861738113e-07,1.946061227345639,,,
26064,3.5198058725620918,0.0058169149191749,1.0786173058033408,,,
26065,6.045572059550384,0.0001396789553142,2.324370418472057,,,
26097,1.464782630976356,0.1648180268425563,0.4892736970015398,,,
26127,1.8588323298650784,0.1266407860173047,1.0248028544199466,,,
26164,3.804215279774018,0.0061582617310325,1.6467925824947156,,,
26205,0.5932859618157094,0.5649617424793346,0.1942933981121842,,,
26233,3.212022446297467,0.0028000178463836,0.9144144456345966,,,
26292,2.8030829980451983,0.0111877703963361,0.9690549623432776,,,
2639,6.358387951996509,9.414398948850454e-05,3.1015618570798598,,,
26523,2.5162035463619485,0.0249882116418436,1.1347894002204544,,,
26873,4.951204960155637,1.0980369390642274e-05,1.3435337090956931,,,
26958,1.124286596372898,0.3058850615564996,0.6290195230007092,,,
26986,2.4058997091209124,0.0215398295145399,0.7188296781086961,,,
26993,5.073742383602181,0.0001455022355884,2.0124998213640577,,,
26998,-1.437985665252944,0.1612996919939017,-0.4869285395150877,,,
27010,-0.294641684984728,0.7749042644951012,-0.1324457752772735,,,
27095,2.763313178833797,0.0144341473366931,1.0951266181617412,,,
27161,3.882298211689993,0.0003847830508003,1.0910314284278235,,,
27238,4.448811836760735,0.0066706093230073,2.4209709319348485,,,
27333,3.568422644875564,0.0009021333796287,1.0301148873006314,,,
27335,0.9402822697849028,0.3736768708115082,0.6517427814213874,,,
2762,2.966885687320396,0.008408019677491,1.072421058139133,,,
2766,2.5067891809496343,0.0258056587291991,1.080109053650893,,,
2821,3.5487950372342527,0.0039272040138715,1.0979720575602545,,,
283209,1.7858609127945986,0.1217727275412224,1.2537959441761273,,,
283219,3.456804346680634,0.0032403802312074,1.0609537963061304,,,
284252,0.9207180584702228,0.4039064429402908,0.6217446386252617,,,
286,-1.3570474528540564,0.2134958631998714,-0.4425499431017188,,,
286053,-0.4729785811754484,0.6397680586638723,-0.1452528753470627,,,
286077,4.844792109739041,1.3461520310360512e-05,1.134164426217123,,,
286826,1.9050137666038915,0.1016651673395623,0.7059963242604996,,,
28952,0.6876161754788916,0.5246660976330222,0.4429434685986815,,,
28956,-1.5581840609832738,0.1530313518578471,-0.4650936691419833,,,
28959,-0.3649675163976991,0.7180658537080203,-0.0951121338528045,,,
28971,3.6119073864129096,0.0045738782808871,1.4009315206727888,,,
28974,2.761080019602748,0.0157517722594175,1.21564285244248,,,
28991,1.7245274239845474,0.0924320041922991,0.4915376056859319,,,
28998,1.6951110251445476,0.0973674195405235,0.4669663948979913,,,
29028,2.0634153069732317,0.0471005995919744,0.5906490384743025,,,
29062,1.321087153415429,0.2130418205373721,0.5167992977718407,,,
29086,2.5139748913675537,0.0440135419494271,1.953481152135731,,,
29088,-0.2054397455087907,0.8450634616751308,-0.0849912605500699,,,
2961,,,,-4.758495533644016,0.0002935809983082,-1.4574086968019346
29780,,,,-0.3490911698433623,0.732461737484245,-0.1483646925964829
29803,3.561440222534216,0.0027510656838774,1.3799650123495584,,,
2987,1.1913659247618245,0.2938488207944521,0.7434728096680171,,,
29883,,,,-2.6868088176874707,0.0192231117068806,-1.0577652854677142
29889,2.856869422875286,0.0109452506197111,0.9846510895580622,,,
29894,-0.7179203107857648,0.4768392818230572,-0.200007097585436,,,
29911,2.2972250785342663,0.0399554522853278,0.8983607321578592,,,
2992,5.866709061845793,3.010936588923013e-06,1.7048301556911925,,,
29920,0.6800258885927337,0.5407051909921695,0.4206051028596566,,,
29956,2.7933680341287315,0.0286987644713965,1.7696505906963378,,,
30000,3.527617405345749,0.0063952744693716,1.9355360227915497,,,
3055,1.1557963437881775,0.3190620253964447,0.6123839259641323,,,
3084,,,,1.2492706092017145,0.2446583126175903,0.6410127442337955
3191,2.216182956582669,0.0482746441817243,0.9948408106612068,,,
3297,6.070477684516047,3.08886889288534e-07,1.6801886299586155,,,
3337,6.172961756788124,7.97955669971613e-05,2.974092135955605,,,
3383,1.9724025159722045,0.0705052164751825,0.7818180143120141,,,
3385,-0.8104782362144427,0.4294522427420555,-0.2953074978045433,,,
340371,5.513069823607995,1.289474179077066e-06,1.4636846726462334,,,
342979,0.8842354597543706,0.3915932240737013,0.3738494117753126,,,
347,0.4122117520739349,0.6823117813606996,0.1228175338671247,1.104759272419956,0.355731585137472,0.5735053857921617
349565,1.5814045699971664,0.1454144377528974,0.7122681124090262,,,
3556,2.6176665221076347,0.0144838177370916,0.8550797871495018,,,
359948,3.691120810440588,0.0022894400897137,1.0818455818211523,,,
3608,0.5277240676254528,0.6042410131135414,0.1425465886592374,,,
3609,3.258234283155501,0.0075858305854523,0.9878931131727998,,,
3633,3.298535533336852,0.0046816887903848,1.3548671626177191,,,
3636,4.942077738069619,0.0013712367082863,3.113240423329481,,,
3646,-0.3282140959819129,0.7443923725374924,-0.0960356622612434,,,
3709,2.072358375517327,0.0688908969727612,1.161907375939459,,,
3726,1.3967439547819758,0.1772978958816549,0.4151862377179436,,,
373156,2.9595998784386106,0.0129904983293339,1.5546336127453115,,,
374882,1.795373477834452,0.1197414090106173,0.8829861058466486,,,
376497,1.9520992260277377,0.1025428464901765,1.2535408753706858,,,
3827,-1.2689319300593758,0.2111764257216259,-0.3613784525899868,,,
3840,5.692678330433136,1.7883179926715757e-05,2.143929709380373,,,
3845,2.003847844772064,0.0749174595184483,1.319156184078051,,,
387338,4.459920538377727,0.0016978927523091,1.8684452538364689,,,
387787,1.5207502113366171,0.2200291800934612,0.7190445728408272,,,
388753,-0.3026718779480909,0.7678570592618736,-0.1214384395842989,,,
