Pathway,Gene
positive regulation of nucleobase-containing compound metabolic process,ACTR3
positive regulation of nucleobase-containing compound metabolic process,ATXN7L3
positive regulation of nucleobase-containing compound metabolic process,FBXW11
positive regulation of nucleobase-containing compound metabolic process,SOX17
positive regulation of nucleobase-containing compound metabolic process,SUPT7L
positive regulation of nucleobase-containing compound metabolic process,VEZF1
positive regulation of nucleobase-containing compound metabolic process,WT1
positive regulation of nucleobase-containing compound metabolic process,RAF1
positive regulation of nucleobase-containing compound metabolic process,MYBL2
positive regulation of nucleobase-containing compound metabolic process,SAMD4B
positive regulation of nucleobase-containing compound metabolic process,ZFP36L1
positive regulation of nucleobase-containing compound metabolic process,ARID2
positive regulation of nucleobase-containing compound metabolic process,ZNF780B
mitotic cell cycle process,SMC4
mitotic cell cycle process,EIF4G1
mitotic cell cycle process,ECT2
mitotic cell cycle process,EZH2
mitotic cell cycle process,LSM14A
mitotic cell cycle process,EXOC4
mitotic cell cycle process,WNK1
mitotic cell cycle process,CCNE1
mitotic cell cycle process,FZR1
mitotic cell cycle process,E2F3
mitotic cell cycle process,CIT
mitotic cell cycle process,SKP2
mitotic cell cycle process,VPS4B
mitotic cell cycle process,FBXW11
mitotic cell cycle process,CCND1
mitotic cell cycle process,MYBL2
mitotic cell cycle process,ZFP36L1
mitotic cell cycle process,ARID2
mitotic cell cycle process,CDK4
mitotic cell cycle process,APC
Cyclin A:Cdk2-associated events at S phase entry,PSMD8
Cyclin A:Cdk2-associated events at S phase entry,AKT2
Cyclin A:Cdk2-associated events at S phase entry,CCNE1
Cyclin A:Cdk2-associated events at S phase entry,LIN54
Cyclin A:Cdk2-associated events at S phase entry,FZR1
Cyclin A:Cdk2-associated events at S phase entry,SKP2
Cyclin A:Cdk2-associated events at S phase entry,CCND1
Cyclin A:Cdk2-associated events at S phase entry,CDK4
mitotic cell cycle,SMC4
mitotic cell cycle,EIF4G1
mitotic cell cycle,ECT2
mitotic cell cycle,EZH2
mitotic cell cycle,LSM14A
mitotic cell cycle,EXOC4
mitotic cell cycle,WNK1
mitotic cell cycle,CCNE1
mitotic cell cycle,FZR1
mitotic cell cycle,E2F3
mitotic cell cycle,CIT
mitotic cell cycle,SKP2
mitotic cell cycle,VPS4B
mitotic cell cycle,FBXW11
mitotic cell cycle,MAEA
mitotic cell cycle,CCND1
mitotic cell cycle,MYBL2
mitotic cell cycle,ZFP36L1
mitotic cell cycle,ARID2
mitotic cell cycle,XRCC2
mitotic cell cycle,CDK4
mitotic cell cycle,APC
Breast cancer,AKT2
Breast cancer,PIK3CB
Breast cancer,PIK3CA
Breast cancer,E2F3
Breast cancer,KRAS
Breast cancer,CCND1
Breast cancer,RAF1
Breast cancer,CDK4
Breast cancer,APC
Gastric cancer,AKT2
Gastric cancer,PIK3CB
Gastric cancer,PIK3CA
Gastric cancer,CCNE1
Gastric cancer,E2F3
