Gene,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared
ZBTB7B,0.06917532556545578,0.12019541030732846,83,0.029550713686481322
PCK1,0.057023149741824465,0.6766364020743485,75,0.002396193823119841
YARS2,0.21725532634426784,1.3761319422787086e-07,119,0.21197649124875095
NMD3,0.1645473450057406,5.588628715501684e-07,119,0.1934553218264503
MRPL4,0.033046590909090914,0.25598685992269643,117,0.011205858834791194
NDUFA13,0.022303535024940382,0.563418646822514,119,0.00286127269165104
PCM1,0.1730094110314739,8.671174517169662e-07,119,0.1875744072923301
SCCPDH,0.14606556581439387,3.748673877800903e-05,119,0.13572756770623007
PHF20L1,0.1603086191923578,0.0040522052204633565,95,0.08542458084166338
APH1A,0.05298080275229357,0.178776983308023,101,0.018185148339476154
COMMD2,0.12219741891891893,0.015618313748320452,117,0.049768472435323785
ZNF706,0.13237245008094983,0.0021589691860094988,114,0.08092185195955681
VPS28,0.008573804500703242,0.7616822275341716,117,0.00080293760354333
DBR1,0.12642206231453998,2.2896574904033935e-06,119,0.17444873792838878
PLEKHO1,-0.07247079510703357,0.38520196106069704,62,0.012592329448410378
CPA4,-0.0004696855345911882,0.9976021625308709,91,1.020493972658798e-07
ACP6,0.15865178168696425,0.032233518425250865,91,0.05049786646009502
MRPL51,-0.019127426114991936,0.5463166710340379,114,0.0032588319163948665
C1RL,0.1169161700536093,0.010830177289309779,110,0.058609905243688365
COA4,0.2048466868198308,5.013063590320894e-05,119,0.1316275910226482
ERGIC2,0.2051298311727465,3.749708250899482e-07,119,0.1987666758262454
ECSIT,0.27911776470588234,1.8042363599082306e-08,100,0.27748955360651206
PCYT1A,0.22417052047074426,2.0129875842278985e-15,119,0.41789900824707116
RSRC1,0.08230993757381475,0.009758163411011966,104,0.06367781564055142
THEM6,0.31233178345339446,1.4187357943166913e-09,119,0.2698412051163377
UBR5,0.012372559760956182,0.5023162698377134,119,0.003855506147738774
PDE3A,0.10759386309992129,0.14915617230217876,96,0.022008834794808974
PPME1,0.1405788756810302,3.4471143354178536e-08,119,0.22990660154319442
NOL7,0.08684348842386466,0.0381195674850783,119,0.03623355319881971
PRKAG2,0.07629488759970994,0.02500732495034372,81,0.06198432287936528
SCARA3,0.19883830622546275,0.003095114549772597,85,0.1006288194264855
FAM8A1,0.11773853612761966,0.002398841628760333,66,0.1350802479049633
PDE4D,0.12938389312977105,0.01592136938090976,78,0.07408148864111908
DCDC2,0.20414730679156912,0.0006008048408125139,115,0.09935858433726907
ISYNA1,0.2225183800623052,7.288084856548423e-05,119,0.1263301555194235
TMEM14C,0.273601625526791,2.857377235105364e-11,119,0.3161141602622546
ZC3HC1,0.05810185084376701,0.04400441315296748,119,0.03421889048561977
PDGFRL,0.08517280265339973,0.42093494613069904,53,0.01274315673696158
PCF11,0.09551953849471638,0.0004951718335157848,119,0.09890772093659705
LSR,0.18426289009497962,1.702970963626887e-08,119,0.23889993477210636
ATP6V1H,0.06450962002412543,0.06480611958723957,119,0.028844818694214402
MRPL48,0.011001630820137089,0.7104704819612184,119,0.0011821860482141844
MRPS33,-0.009811409673418748,0.7935856323660768,114,0.0006138371724452307
ZFR,0.047657482394366214,0.02932550418726371,119,0.03993842075888676
NUB1,0.18490345828933466,8.723435581184747e-10,119,0.2757594014689929
ENPP2,0.05758947368421052,0.3670907118768545,87,0.009580685376873843
SELENOT,0.16702382650029712,1.5115329057612398e-05,116,0.15206238763004465
DNAJB11,0.18737697898032196,1.0288117221529228e-10,119,0.30124601136784035
WWOX,0.17080151209677422,0.00014533490659159173,104,0.13252991403636938
ARID4B,0.09620014059304702,3.1569725019922683e-06,119,0.17006886480964567
TM7SF3,0.1221132194244604,0.07502903377673874,65,0.04944323920020399
RSF1,0.15011532258064506,1.910018993491874e-08,119,0.23744305644979025
CALML5,-0.07902386621315197,0.5375135126886634,116,0.00334385514668345
PEPD,0.13278165004156273,6.357007762365153e-09,119,0.2513087526837906
PFKFB3,0.08397596968345962,0.08636773636942748,85,0.03501701723983763
PFKP,0.14842029096477796,0.004353583056725574,119,0.06740482291018302
PFN2,0.0699920864262991,0.2128751324825396,119,0.013231366963884272
ATP6V1B2,0.12533828295419133,5.455981335292036e-05,119,0.13043082673985396
SERPINB6,0.13157620315944166,0.0034969029212732557,119,0.07058565073878564
SERPINB9,0.04172206098457019,0.35052212879843403,119,0.00745325033812172
ATP6V1C1,0.18620098814229247,1.278067125327694e-08,119,0.24253341829804698
PIK3CA,0.11827940513109671,1.8969730779738669e-06,115,0.18268526994452694
PIK3CB,0.12603464831290914,0.0006169423028634772,114,0.09980523832731936
PIK3R2,0.12344835428571432,1.9586328741104554e-05,117,0.147170283734815
PI4KB,0.16864977232924686,1.1017419910487917e-08,119,0.24440658828933293
PIN1,0.2164047813996602,1.0003952980311981e-26,119,0.6256965903413436
PKLR,0.054578979952830224,0.4147789529184468,93,0.007321666242538605
PLD1,0.07955634398496238,0.3274893343767272,67,0.01475459939187107
PLEC,0.2598543799772468,5.913002069470605e-11,119,0.3077108279623728
PLOD2,0.11616500561482304,0.15187975708690585,119,0.017469954303634072
PLP2,0.1261601248884925,0.2817857363009275,53,0.02267710797316902
PLS1,0.09958140192198986,0.12198108829228076,119,0.02031996434032146
PLSCR1,0.1946733015160022,0.01713401398873253,119,0.04760587609861311
ACP5,0.030811194029850726,0.5430435179479346,96,0.003948569453987694
CHRAC1,0.12586593910291388,0.00153486414678623,116,0.08462521200940754
DCUN1D1,0.21648973772858512,1.2967930398238045e-16,119,0.4442766403248477
DPM3,-0.08543087352314545,0.05587363503346137,116,0.03169598612687785
POLR2H,0.18933272683163516,7.779605207312166e-13,119,0.3563418154632556
POLR2I,0.0672366798490023,0.005391675781866848,119,0.06430207947653888
MRPS21,-0.0658981789390341,0.21826689149441494,112,0.013746700586969585
XRN1,0.10978862506902266,3.842915561866389e-08,119,0.22851194845043776
PLEKHA5,0.24927664424514204,8.228963262226723e-11,119,0.3038597058078636
CHPF2,0.08427367256637165,0.09040600250923919,61,0.04782577846614611
EXOSC4,-0.02921869422263974,0.2855507405662586,117,0.009910960031949356
MTMR12,0.23360713028169014,3.2775145563336394e-11,119,0.3145364566917259
DDX49,0.11741785639522714,0.0003514133667354691,117,0.10556261724516114
EGLN1,0.10065122816593886,0.00336890039998705,119,0.07112708203480977
PAF1,0.030856271832327718,0.07510585914840336,119,0.02682413715637011
TRIT1,0.12883744959677418,0.003948281068166396,78,0.1041867767002993
