Biomarker,Target,Tractability_Flags,Tractability_Interpretation,Known_Drugs,Approved Drug,Advanced Clinical,Phase 1 Clinical,Clinical Precedence,Structure with Ligand,High-Quality Ligand,High-Quality Pocket,Druggable Family
ITPR2,SMARCA4,3,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
RBM12B,COX20,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
RBM12B,NUP42,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
PDCD5,ARID2,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
ANKRD27,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
ANKRD27,PARD6B,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
ANKRD27,PAX8,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LDHB,KIF2C,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
LDHB,PFDN1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
LY6E,COX20,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LY6E,SPAG5,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LYN,DDA1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
LYN,FAM210A,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LYN,GCN1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LYN,HAPSTR1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LYN,RAB18,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
LYN,RAD51D,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
LYN,SLC4A7,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LYN,USP1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
MATN2,COX20,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MATN2,NELFB,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
LRRC14,ESF1,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MBNL1,CITED2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MBNL1,MYBL2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MMP7,MED1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
MMP7,POLR2M,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
MMP7,RAD51B,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
ASPH,KRAS,3,HIGH tractability (approved drug exists),ADAGRASIB; SOTORASIB,1,0,0,0,1,1,0,0
MTR,BRPF1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
MTR,CCNE1,3,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,1
MTR,CIT,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,0,1,0,1
MTR,YTHDC1,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
NDUFB9,ATAD2,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
NDUFB9,KIF2C,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
NDUFB9,PARN,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,1,0
NDUFB9,RAD51B,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
NDUFB9,RAD51D,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
NDUFB9,USP1,2,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,1,0,0
NDUFB9,XRCC2,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
NDUFB9,XYLT2,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LSG1,DOCK7,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
OPA1,LIN54,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
LSG1,MIOS,0,LOW tractability (no tractability evidence),,0,0,0,0,0,0,0,0
ASAP1,SMARCA5,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
GOLT1B,MAD2L1BP,1,LOW tractability (ligandable but no clinical-stage evidence),,0,0,0,0,1,0,0,0
