Biomarker,Biomarker_HGNC,Endpoint,N_patients,N_amplified,N_not_amplified,Amp_frequency,Univariate_HR,Univariate_coef,Univariate_p,Univariate_CI_lower,Univariate_CI_upper,Adjusted_HR,Adjusted_coef,Adjusted_p,Adjusted_CI_lower,Adjusted_CI_upper,Univariate_FDR,Adjusted_FDR
10051,SMC4,PFS,469,55,414,0.1172707889125799,0.8311412268805025,-0.1849555504549185,0.2959979612434594,0.5875267566136374,1.175768986253506,0.8381262214007226,-0.1765865676458717,0.3187761364355499,0.5923013983560239,1.185976539898724,0.9790247257982192,0.8908228531612116
10867,TSPAN9,PFS,469,31,438,0.0660980810234541,0.792340275760746,-0.2327643383249732,0.3374440379541977,0.492448497684239,1.2748604484426027,0.7861442378478887,-0.2406149946762681,0.3215052413340915,0.488548113691805,1.2650192383944203,0.9790247257982192,0.8908228531612116
5298,PI4KB,PFS,469,29,440,0.0618336886993603,1.253625983142881,0.2260401386659367,0.2971685826833193,0.819616101502205,1.9174563588130384,1.237999841584513,0.2134970463015827,0.3252184890379418,0.809090902279925,1.894278632282808,0.9790247257982192,0.8908228531612116
55341,LSG1,PFS,469,78,391,0.1663113006396588,0.8546407552984048,-0.1570740675828381,0.2964376497301869,0.6363990235947931,1.1477246091472535,0.8626504518920252,-0.1477457083127215,0.3265405870242228,0.6421722787567303,1.1588257960780373,0.9790247257982192,0.8908228531612116
4061,LY6E,PFS,469,123,346,0.2622601279317697,1.08589960245957,0.0824087701476126,0.5014602741222405,0.8539553246586655,1.3808426653855477,1.130553824289379,0.1227076226501767,0.3280377421849779,0.8840988703792637,1.4457115515451722,0.9790247257982192,0.8908228531612116
94274,PPP1R14A,PFS,469,40,429,0.0852878464818763,1.235176052745996,0.2112135127510172,0.2573984184606407,0.8570116064286077,1.7802091241622793,1.2002079090251172,0.1824947993075348,0.331325158081482,0.830521795232493,1.7344505985941003,0.9790247257982192,0.8908228531612116
55094,GPATCH1,PFS,469,39,430,0.0831556503198294,1.217572016380927,0.1968587252568166,0.3127253717501547,0.8308227441765835,1.7843536728681908,1.2053019725230003,0.1867301351519322,0.338537015407094,0.8222796775622493,1.7667381118729617,0.9790247257982192,0.8908228531612116
55544,RBM38,PFS,469,27,442,0.0575692963752665,0.7977435173468101,-0.2259681400281459,0.3411231431524443,0.5009678639004584,1.2703304250176637,0.7996715146789282,-0.2235542422875434,0.3464128457349178,0.5021266834689482,1.2735322627570274,0.9790247257982192,0.8908228531612116
23527,ACAP2,PFS,469,80,389,0.1705756929637526,0.8635157801590733,-0.1467431069137747,0.325716689630096,0.6444266077711591,1.157089874303456,0.8707933157005624,-0.1383506256955758,0.3545259446443797,0.6497087549764148,1.1671090975160183,0.9790247257982192,0.8908228531612116
79139,DERL1,PFS,469,113,356,0.2409381663113006,1.1062762917474127,0.1009996836089157,0.4246786983177953,0.8633263972571904,1.417595057408878,1.1245441700328904,0.1173777713549123,0.3554341894903369,0.8767145457587874,1.4424302601942856,0.9790247257982192,0.8908228531612116
54108,CHRAC1,PFS,469,124,345,0.2643923240938166,1.0766751811382245,0.0738777567131035,0.5467971080197018,0.8466872293514917,1.3691353849365653,1.122995803367564,0.1159999387658543,0.3562313556338952,0.8777114206980005,1.4368271218098707,0.9790247257982192,0.8908228531612116
