Gene,Entrez ID,Regression Coefficient (Effect Size),P-value,Sample Size,R-squared,P-value (FDR),Significant (FDR<0.05)
ALG8,79053,0.12601024753792914,0.041762191598030664,105,0.03962945485322811,0.06330441384207756,False
DSCC1,79075,0.07729393063583817,0.43829317502888465,50,0.012566832873664446,0.5134424840593963,False
C1orf50,79078,0.2734207653550863,8.007185840870058e-14,117,0.38570474485034467,1.7615808849914128e-12,True
ALG12,79087,0.26350922818791944,4.538043028439263e-06,68,0.2744947493950546,1.579698522557971e-05,True
DEK,7913,0.16449076809453467,1.5645466733577838e-06,119,0.1796170126628608,6.059863875681557e-06,True
DERL1,79139,0.16019888082274647,8.531922611054227e-06,109,0.1697587269294858,2.801526827510343e-05,True
CHCHD7,79145,0.040905546492659046,0.45639895437666744,113,0.005007373517376346,0.5295768457957112,False
ALDH5A1,7915,0.2310837785016287,1.3168135054071504e-05,119,0.1503739182002748,4.174336760656673e-05,True
PLEKHF1,79156,0.07448977519941988,0.1889249639217564,87,0.02021806610165866,0.24506775980416515,False
C1orf35,79169,0.14849013581129383,3.761774899043829e-05,116,0.13900270932443182,0.0001097600103169287,True
RBM42,79171,0.16348988180515758,0.00021135155007796465,119,0.11114883866165082,0.0005166371224128025,True
CRELD2,79174,0.15113436376707406,0.008072104262223437,116,0.05995296878045464,0.014094150299120287,True
BHLHE41,79365,0.11688549303045943,0.1249954975623221,83,0.028812799025056512,0.16953766623742825,False
ATP13A3,79572,0.07375211492418202,0.01222731091862993,100,0.062354275777895984,0.020852778310841744,True
TTC13,79573,0.04033208027133973,0.26491150306538414,114,0.011085093638479981,0.33227212471142825,False
TNFAIP8L2,79626,-0.039244486692015204,0.6765769737204672,100,0.0017830470256378073,0.7361946657275534,False
PLEKHF2,79666,0.18480975515463915,2.023678112199497e-06,117,0.1789104686731563,7.6760204255843e-06,True
COLGALT1,79709,0.17378790069138914,7.876739094848351e-06,119,0.15750137591163316,2.6145441018744545e-05,True
PPCS,79717,0.26930909696028404,1.0199374051114724e-08,119,0.24537840016527823,6.41103511784354e-08,True
TBL1XR1,79718,0.2012522617773019,8.949130071236441e-10,119,0.2754496781159531,7.238266969382415e-09,True
NARS2,79731,0.2602549029417649,6.462823335834269e-14,119,0.3827814572395404,1.4810636811286864e-12,True
ZBBX,79740,0.1493848534201955,0.06469928260907527,93,0.03700530955703929,0.09426385545693086,False
SNIP1,79753,0.13569023982701003,8.217600205705873e-10,119,0.2764832368860445,6.755358933427053e-09,True
GSDMD,79792,0.2202291009463723,6.626372436163333e-07,119,0.19117930003806005,2.847269406163932e-06,True
ARHGEF5,7984,0.24372322766570598,4.859222613819266e-15,116,0.41732392544700425,1.4446337500543761e-13,True
NUDT18,79873,0.017201852433281012,0.6294899586617446,74,0.0032499091543096714,0.6917472073205985,False
LPCAT1,79888,0.15073752938410903,0.0002029319802780867,119,0.11173123509847993,0.000498270487289945,True
TUSC3,7991,0.17920267119961136,0.017226586545374113,93,0.0607596540130243,0.028409662968383095,True
PYROXD1,79912,0.14713430623471888,0.0019425699391747062,109,0.08621967760582971,0.003927990685831207,True
SPEF2,79925,0.05913006019563587,0.565351551921101,98,0.003454934414186872,0.6332858524574451,False
KIAA0319L,79932,0.2658870860927153,7.626370332553564e-11,117,0.3091465416615097,8.066353236354731e-10,True
SLC35E1,79939,0.14834003524945766,9.068779703315679e-06,105,0.17482521545288554,2.951378009954807e-05,True
GRHL2,79977,0.13621913477537434,0.000233291571197762,119,0.10973303095231035,0.0005646293500172973,True
CALD1,800,-0.0316937122128174,0.678018415737897,119,0.00147841991885711,0.7362490200510234,False
DOCK5,80005,0.12959785261102977,0.002440642106528064,108,0.08337198263373846,0.004811301643693315,True
PHC3,80012,0.09015076572847686,0.05273276390525249,101,0.03737754907618607,0.07825503050684333,False
ZC3H12A,80149,-0.08683890977443612,0.3029144418883234,52,0.021211128155555814,0.37188156928253985,False
MOGAT2,80168,-0.0025004149377593383,0.9301564257672719,104,7.568269167468333e-05,0.9447572191542004,False
TARS2,80222,0.3195058731265249,1.4198881276377726e-11,119,0.32410366433391424,1.8593773100018448e-10,True
PAAF1,80227,0.0807335341102527,0.018946353057879103,114,0.048184329876650445,0.03096729325953494,True
TRABD,80305,0.12715979166666663,0.0015322908351940055,99,0.09880076428973861,0.0031617051712824963,True
FLAD1,80308,0.11216751592356686,0.0013934024135700536,119,0.08394109977025666,0.002891967273447281,True
DNAJC5,80331,0.19215901584091685,2.6381096548939703e-06,119,0.17251942070787318,9.609008676766117e-06,True
REEP4,80346,0.05404583333333333,0.14973878777456853,117,0.01795798957849104,0.19773429357986239,False
MFAP5,8076,0.1135973539288113,0.20770410294823347,102,0.015826456481703333,0.26659803178886443,False
USP5,8078,0.23014718831298786,2.7803248761577367e-16,119,0.4370600982501769,1.456360649415957e-14,True
MLF2,8079,0.15853186194182722,4.707975374655995e-05,117,0.13466552835550627,0.00013381842150185,True
SH3BP5L,80851,0.165488474350433,0.0021390442813982915,58,0.15617767649437386,0.004293702024704599,True
FXR1,8087,0.19015448283913136,6.557402175652704e-13,119,0.35819238874287884,1.1276863502637366e-11,True
ACTN4,81,0.2314864669247602,8.166260536591416e-16,119,0.42670900982842075,3.454956380865599e-14,True
SLC25A32,81034,0.17974968076616127,0.0001615692521601969,93,0.1455093520342915,0.00040392313040049226,True
CLPTM1L,81037,0.2140403679653679,5.35953587526635e-11,117,0.31329602267865775,5.955039861407056e-10,True
CALR,811,0.12890996334555152,4.802543094688501e-06,119,0.1643205158803196,1.666497603835126e-05,True
HM13,81502,0.24549856938483547,8.119440984814558e-07,119,0.18845684733868873,3.408925604311456e-06,True
TXNDC5,81567,0.15955364777407322,0.00010758270206015737,119,0.12079525605728658,0.00027649759875274086,True
CLPB,81570,0.10997368534482757,1.5188522202541451e-06,119,0.18001819216542614,5.903665873779363e-06,True
PDRG1,81572,0.08178606938483549,0.11202217912852802,119,0.021444125981534556,0.15558635990073336,False
SNX27,81609,0.1235121541155866,3.835190470579592e-07,119,0.19846745279018763,1.7010925474344964e-06,True
ANP32E,81611,0.15897316138027184,0.0010385949838005444,119,0.08820022967140506,0.002201261044663967,True
ELL,8178,0.028675305623471876,0.4817637949808943,84,0.006053470501888869,0.555492845365811,False
